"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"PGM5",2375.40862773215,-4.16267887580254,0.656423283662147,1.25147665719272e-11,1.37372354920326e-09
"BMP2",1442.70596459895,-1.69629930893587,0.262266268704892,1.36146395032892e-11,1.47639935289317e-09
"ALDH1A1",3770.97946178398,-2.95343047642356,0.46340750045803,1.36283017190139e-11,1.47639935289317e-09
"KRT20",32361.4963336641,-2.75917662612659,0.433479887997421,1.48106407881045e-11,1.59406734456384e-09
"DKC1",3305.1353032057,1.68824558002013,0.261498708072081,1.49904273709921e-11,1.60300860434963e-09
"BLACAT1",75.6380179748923,4.10577536388143,0.648560605092773,1.52750074774365e-11,1.62296954447763e-09
"RELL2",135.094766269856,2.77708253372258,0.436524671768758,1.54966813977343e-11,1.63603499469711e-09
"STMN2",403.003044505594,-3.61130179828694,0.575392398764937,1.73081130232441e-11,1.80864004134867e-09
"GFRA2",188.309581551402,-3.28551718938676,0.522983705350201,1.73498501704035e-11,1.80864004134867e-09
"S100P",4551.22047587599,3.52850131718285,0.559008060916919,1.88533054284454e-11,1.95308460922802e-09
"NTN1",891.683064145797,-3.47285043039769,0.549769032781506,1.92039078516621e-11,1.97704827727515e-09
"CA7",1594.97246445965,-5.3912807488903,0.868702032169665,1.94180748183252e-11,1.98354004141418e-09
"SDPR",1006.41736195507,-3.28829170410138,0.520164555318931,1.95063062896236e-11,1.98354004141418e-09
"MRPS23",1371.29092167241,1.35721321551086,0.209450073474897,2.03275295065046e-11,2.0544439120141e-09
"GSTM5",139.766611970718,-2.92016614753113,0.458608411355207,2.05172724531175e-11,2.06105327824498e-09
"PEX26",4456.93593911337,-1.96972370033962,0.30876893493062,2.07943263071167e-11,2.06955245652127e-09
"CNIH3",102.009297280679,2.10587580411846,0.331783451229174,2.08515994111042e-11,2.06955245652127e-09
"TRANK1",3022.19878009389,-1.98378801267443,0.311433229979368,2.15766941895673e-11,2.12877206066713e-09
"SLC35F1",55.8825781152032,-2.4880828334717,0.393168933838243,2.24135550048799e-11,2.19825251009399e-09
"EVA1A",138.756931115734,3.27757240196809,0.521363710827696,2.27876787265259e-11,2.22179867583627e-09
"SOX9",6118.27259297608,2.42935967982254,0.384487033373249,2.56284125187902e-11,2.48415752923361e-09
"CTD-3035D6.1",427.956971378939,6.01897219141493,0.973575946982242,2.74047534532849e-11,2.62734693875242e-09
"OTX1",47.8909613691925,5.65052931262091,0.910031135316459,2.74226859972349e-11,2.62734693875242e-09
"STK31",36.8734099018774,2.789884296922,0.443563838133617,2.75859766389911e-11,2.62780208500734e-09
"PAPSS2",6268.09574502188,-2.24302103911196,0.356140574680874,2.78611414010002e-11,2.63884810698045e-09
"KIAA1549",557.730463990309,2.15327843803474,0.340827693505041,2.8840985472758e-11,2.71613258074412e-09
"GFRA1",426.225888861447,-3.06132128432223,0.488236911569417,2.9472150519887e-11,2.7598920613962e-09
"EPHX4",145.644890453034,4.69654751848888,0.757748031932011,3.04648676745748e-11,2.83682686351729e-09
"PDX1",359.641981836016,5.59560538581249,0.908571419470994,3.13381233548412e-11,2.90184019333236e-09
"TCF7",1414.96574492071,2.35231469938502,0.374131047817224,3.23146412775135e-11,2.97563988430437e-09
"STOX2",97.1703231134173,-2.90347593715279,0.459593368345597,3.3260122855797e-11,3.04578196870075e-09
"CHL1",297.6938790969,-2.91878533835656,0.466426251235089,3.45376213975525e-11,3.14539052013425e-09
"GTF2IRD1",1940.27058019027,2.14505578052883,0.341134117768895,3.4831134422178e-11,3.1547871751235e-09
"KIAA1683",219.383269159975,-2.51288825822693,0.401359102369259,3.53432321657581e-11,3.17353324220807e-09
"ADAMTS2",1379.522278316,2.5168170437187,0.40259740718511,3.55564337802757e-11,3.17353324220807e-09
"FTSJ1",1367.67556060455,1.68840942878427,0.266423525447769,3.56124997315656e-11,3.17353324220807e-09
"SHH",589.389009430497,2.83836713926595,0.457459601616901,3.9705536471104e-11,3.51935436902967e-09
"SH3TC2",190.269011278422,3.17044568644941,0.514594433410826,4.60747584105304e-11,4.06217617369437e-09
"GPR56",6948.04173414048,1.75671937264119,0.278477475842383,4.84047837871111e-11,4.24502270513951e-09
"LIFR",527.418728719996,-3.53733556131501,0.571988804409159,5.18804032129193e-11,4.52588254344283e-09
"MEX3A",499.421612331243,3.67667229240929,0.599763803989426,5.31146681538603e-11,4.60929646413735e-09
"FAM83H-AS1",657.066446484894,2.98985920426629,0.485991153804614,5.60938117164446e-11,4.84247358958369e-09
"ABCA8",757.680446444869,-3.76307579068633,0.617150567010452,6.14171120912126e-11,5.27455250213393e-09
"METTL7A",4440.50997182623,-2.41113585207953,0.392412784531284,6.78006384904004e-11,5.79276073700199e-09
"CCDC86",1052.09562743301,1.53186714376554,0.244793276294806,7.0462232785085e-11,5.97802545215740e-09
"IFITM2",6382.05912711096,3.13754033577445,0.511911516340442,7.06903763875022e-11,5.97802545215740e-09
"UHRF1",786.993210874226,2.97199706288293,0.487614858738293,7.76710869893882e-11,6.53501658299041e-09
"LRRC36",67.2061519863359,3.33895004481256,0.550290449342335,7.89468758248571e-11,6.60881043836872e-09
"DBNDD1",622.54267771656,2.92860987206889,0.480142271294292,8.0113920937915e-11,6.67280522384895e-09
"PHLPP2",2665.4084974832,-3.06925597379882,0.504096417298942,8.10421901170921e-11,6.71637150595401e-09
"C1QTNF7",142.064021788737,-3.19310726029483,0.518488934993486,8.21733768991174e-11,6.77518845572582e-09
"PHLDA1",3098.88603705769,2.90151542672309,0.475502765922144,8.25694158706857e-11,6.77518845572582e-09
"GREM2",940.507577301448,-4.17536915129716,0.689066692645196,8.87365097197212e-11,7.24535787489842e-09
"TGIF2",910.140467810295,2.02757943379902,0.330611073076546,9.81153290664648e-11,7.9539501719831e-09
"C17orf96",222.099888907641,3.32256624656377,0.549648864142797,9.8374647677619e-11,7.9539501719831e-09
"PAG1",2007.41596454952,-2.08934149026532,0.342641679229007,9.9341825257961e-11,7.99315899830438e-09
"SMPDL3A",2511.20952917305,-3.30974833543307,0.549333626996183,1.10260309953567e-10,8.82881467381826e-09
"SLC25A23",5501.12591205962,-1.8033570844991,0.294271306176382,1.19300799853249e-10,9.50678248830575e-09
"CCND1",4887.48741889325,1.73734107134351,0.282634622675447,1.24820608706374e-10,9.89905066654618e-09
"SULT1A2",576.327290442512,-3.81365793170625,0.639962745363229,1.26752658340061e-10,1.00044062475548e-08
"C6orf223",707.411371542055,4.67598564598793,0.786374754156056,1.36860245785332e-10,1.07509885018573e-08
"SYNM",10753.588066301,-5.22508578149574,0.883505889533771,1.48683642973365e-10,1.16246763315261e-08
"PAQR4",1029.52280103076,2.62767156008362,0.437484982089994,1.61805048886657e-10,1.25911675366025e-08
"TRIP13",464.317752729759,2.452379814555,0.408078332505448,1.70749942196945e-10,1.32251415510017e-08
"SLC9A1",4372.22100159498,-1.33466184567987,0.21745740593604,1.79888794930609e-10,1.38681710510458e-08
"RP11-832N8.1",207.210729008686,5.4196445879248,0.922337412233902,1.8165161888907e-10,1.39392388105849e-08
"KLHL35",343.336378891116,5.14688712087604,0.87506445238309,1.86147058341625e-10,1.42183755392278e-08
"GDF15",5779.20357021926,3.90896759477512,0.659417119419074,1.89091242063608e-10,1.43770061339647e-08
"AD000092.3",245.999751236014,5.79406071562614,0.987277036887224,1.90205616115065e-10,1.43956990278867e-08
"PLEKHN1",98.3004334371078,3.41932282115918,0.579866499943852,2.01173972321682e-10,1.51566299601449e-08
